theta,emf a,emf b,emf c
radian,volt,volt,volt
0.31070005422890046,-24.77977746443643,112.07492227171964,-96.77175388586046
0.3119579491852928,-25.653894319967055,112.18108678964273,-96.30336204492049
0.3132158441416851,-26.531047011393728,112.28567053540358,-95.82817651703179
0.3144737390980774,-27.410795497703674,112.38859871800462,-95.34630386864148
0.3157316340544697,-28.292681001320112,112.48978131615188,-94.85785126352192
0.316989529010862,-29.176228873487972,112.58911478002248,-94.36292665864198
0.3182474239672543,-30.06095155406218,112.68648388446954,-93.86163905966893
0.31950531892364664,-30.94635160448283,112.78176371279766,-93.35409882515386
0.3207632138800389,-31.83192479204533,112.87482174850052,-92.84041800753299
0.32202110883643126,-32.7171632030614,112.96552005087706,-92.32071071835375
0.3232790037928236,-33.60155836216603,113.05371748925073,-91.79509350462361
0.3245368987492159,-34.484604334862766,113.13927200962766,-91.26368572287662
0.3257947937056082,-35.365800790420394,113.2220429070547,-90.72660989747862
0.3270526886620005,-36.24465600244085,113.3018930766921,-90.18399204983224
0.3283105836183928,-37.12068976481757,113.37869121669641,-89.6359619855032
0.3295684785747851,-37.993436201386956,113.45231395642472,-89.0826535268663
0.33082637353117744,-38.8624464483528,113.52264788421515,-88.52420467964991
0.3320842684875697,-39.727291189520734,113.58959145006499,-87.96075772273032
0.33334216344396206,-40.58756302551864,113.65305671990386,-87.39245921168681
0.33460005840035434,-41.44287865948893,113.71297095983282,-86.8194598879455
0.3358579533567467,-42.29288088321096,113.76927803064812,-86.24191448680658
0.33711584831313895,-43.137240349236336,113.82193957517117,-85.65998143924253
0.3383737432695313,-43.97565711638352,113.87093598333571,-85.07382246404417
0.33963163822592357,-44.8078619578237,113.91626712261066,-84.48360204866921
0.3408895331823159,-45.63361742298825,113.95795282413224,-83.88948681896963
0.3421474281387082,-46.452718646610805,113.99603311784387,-83.29164479983065
0.3434053230951005,-47.264993900377625,114.0305682129664,-82.69024457061055
0.3446632180514928,-48.0703048848668,114.06163822320185,-82.08545432110168
0.34592111300788514,-48.86854676169917,114.08934263917588,-81.47744081551444
0.3471790079642775,-49.65964792807073,114.11379955370893,-80.86636827369396
0.34843690292066976,-50.44356953807516,114.13514464853243,-80.25239718038331
